data;
param n:=7;
param m:=21;
param p:=3;
param g := 
1 1 73
1 2 42
1 3 35
1 4 74
1 5 88
1 6 58
1 7 99
1 8 80
1 9 67
1 10 90
1 11 28
1 12 95
1 13 98
1 14 26
1 15 8
1 16 70
1 17 89
1 18 35
1 19 21
1 20 11
1 21 74
2 1 49
2 2 59
2 3 84
2 4 87
2 5 50
2 6 86
2 7 45
2 8 97
2 9 6
2 10 4
2 11 16
2 12 52
2 13 68
2 14 75
2 15 79
2 16 73
2 17 99
2 18 57
2 19 21
2 20 58
2 21 27
3 1 64
3 2 13
3 3 8
3 4 8
3 5 42
3 6 5
3 7 62
3 8 86
3 9 48
3 10 85
3 11 86
3 12 33
3 13 59
3 14 22
3 15 65
3 16 57
3 17 28
3 18 66
3 19 15
3 20 41
3 21 65
4 1 83
4 2 83
4 3 25
4 4 75
4 5 65
4 6 80
4 7 88
4 8 13
4 9 14
4 10 99
4 11 7
4 12 71
4 13 40
4 14 57
4 15 75
4 16 8
4 17 39
4 18 77
4 19 19
4 20 99
4 21 65
5 1 47
5 2 28
5 3 49
5 4 15
5 5 48
5 6 26
5 7 17
5 8 11
5 9 9
5 10 61
5 11 6
5 12 41
5 13 21
5 14 16
5 15 59
5 16 5
5 17 55
5 18 18
5 19 21
5 20 47
5 21 49
6 1 32
6 2 22
6 3 93
6 4 34
6 5 20
6 6 32
6 7 39
6 8 98
6 9 5
6 10 53
6 11 43
6 12 68
6 13 95
6 14 37
6 15 96
6 16 70
6 17 55
6 18 96
6 19 75
6 20 64
6 21 17
7 1 92
7 2 33
7 3 39
7 4 40
7 5 29
7 6 53
7 7 74
7 8 74
7 9 91
7 10 35
7 11 80
7 12 1
7 13 71
7 14 78
7 15 52
7 16 34
7 17 18
7 18 99
7 19 77
7 20 11
7 21 72
;
