data;
param n:=7;
param m:=21;
param p:=3;
param g := 
1 1 61
1 2 19
1 3 92
1 4 95
1 5 11
1 6 71
1 7 55
1 8 27
1 9 35
1 10 41
1 11 66
1 12 58
1 13 94
1 14 36
1 15 1
1 16 75
1 17 45
1 18 17
1 19 78
1 20 83
1 21 59
2 1 21
2 2 26
2 3 53
2 4 17
2 5 3
2 6 33
2 7 80
2 8 64
2 9 75
2 10 49
2 11 4
2 12 65
2 13 48
2 14 31
2 15 60
2 16 39
2 17 95
2 18 59
2 19 76
2 20 6
2 21 31
3 1 15
3 2 31
3 3 79
3 4 51
3 5 27
3 6 78
3 7 67
3 8 26
3 9 62
3 10 42
3 11 9
3 12 83
3 13 74
3 14 84
3 15 40
3 16 52
3 17 98
3 18 94
3 19 39
3 20 7
3 21 15
4 1 61
4 2 84
4 3 82
4 4 30
4 5 80
4 6 47
4 7 13
4 8 40
4 9 7
4 10 80
4 11 24
4 12 1
4 13 69
4 14 47
4 15 83
4 16 15
4 17 33
4 18 80
4 19 55
4 20 42
4 21 30
5 1 42
5 2 53
5 3 72
5 4 86
5 5 50
5 6 50
5 7 70
5 8 72
5 9 58
5 10 65
5 11 22
5 12 44
5 13 77
5 14 12
5 15 84
5 16 80
5 17 54
5 18 52
5 19 34
5 20 2
5 21 16
6 1 37
6 2 40
6 3 98
6 4 95
6 5 98
6 6 1
6 7 47
6 8 81
6 9 88
6 10 67
6 11 11
6 12 43
6 13 2
6 14 51
6 15 49
6 16 13
6 17 71
6 18 70
6 19 81
6 20 48
6 21 14
7 1 21
7 2 51
7 3 54
7 4 19
7 5 58
7 6 72
7 7 11
7 8 96
7 9 83
7 10 7
7 11 18
7 12 66
7 13 74
7 14 73
7 15 61
7 16 91
7 17 21
7 18 89
7 19 79
7 20 55
7 21 98
;
