param n   := 10;
param n_d := 20;




set A:= 
(1,10)   (10,1)   (1,9)   (9,1)   (1,8)   (8,1)   (1,7)   (7,1) 
  (1,6)   (6,1)   (1,5)   (5,1)   (1,4)   (4,1)   (1,3)   (3,1)  
   (1,2)   (2,1)   (2,10)   (10,2)   (2,9)   (9,2)   (2,8)   (8,2) 
     (2,7)   (7,2)   (2,6)   (6,2)   (2,5)   (5,2)   (2,4)   (4,2) 
       (2,3)   (3,2)   (3,10)   (10,3)   (3,9)   (9,3)   (3,8)   (8,3) 
         (3,7)   (7,3)   (3,6)   (6,3)   (3,5)   (5,3)   (3,4)   (4,3)  
          (4,10)   (10,4)   (4,9)   (9,4)   (4,8)   (8,4)   (4,7)   (7,4)  
           (4,6)   (6,4)   (4,5)   (5,4)   (5,10)   (10,5)   (5,9)   (9,5)  
            (5,8)   (8,5)   (5,7)   (7,5)   (5,6)   (6,5)   (6,10)   (10,6)  
             (6,9)   (9,6)   (6,8)   (8,6)   (6,7)   (7,6)   (7,10)   (10,7) 
               (7,9)   (9,7)   (7,8)   (8,7)   (8,10)   (10,8)   (8,9)   (9,8)  
                (9,10)   (10,9)   
;


param c:= 
1 10 263
10 1 263
1 9 2275
9 1 2275
1 8 54
8 1 54
1 7 1697
7 1 1697
1 6 187
6 1 187
1 5 62
5 1 62
1 4 462
4 1 462
1 3 642
3 1 642
1 2 84
2 1 84
2 10 180
10 2 180
2 9 243
9 2 243
2 8 88
8 2 88
2 7 618
7 2 618
2 6 156
6 2 156
2 5 92
5 2 92
2 4 402
4 2 402
2 3 1565
3 2 1565
3 10 436
10 3 436
3 9 657
9 3 657
3 8 1652
8 3 1652
3 7 871
7 3 871
3 6 629
6 3 629
3 5 654
5 3 654
3 4 1254
4 3 1254
4 10 1352
10 4 1352
4 9 576
9 4 576
4 8 489
8 4 489
4 7 324
7 4 324
4 6 518
6 4 518
4 5 494
5 4 494
5 10 247
10 5 247
5 9 917
9 5 917
5 8 800
8 5 800
5 7 705
7 5 705
5 6 1131
6 5 1131
6 10 194
10 6 194
6 9 89
9 6 89
6 8 138
8 6 138
6 7 670
7 6 670
7 10 476
10 7 476
7 9 690
9 7 690
7 8 703
8 7 703
8 10 1248
10 8 1248
8 9 224
9 8 224
9 10 230
10 9 230
;

param lambda := 100;

param : S		D	 F:=
1   8  10   40
2   9  1   30
3   5  9   40
4   10  1   10
5   3  8   40
6   8  5   10
7   3  4   50
8   10  8   50
9   4  10   40
10   7  6   30
11   7  3   30
12   1  4   50
13   10  2   30
14   3  2   20
15   6  9   20
16   5  8   20
17   4  9   50
18   9  5   50
19   7  1   40
20   3  7   50
;



