
 param n:= 123;

 param B1:=45;

 param B2:=51;

 param B3:=27;

 param: w c q p:=
1 6 8 6 3
2 2 5 6 3
3 9 2 6 5
4 9 2 1 2
5 1 5 1 3
6 7 5 5 2
7 5 2 6 1
8 3 6 5 1
9 4 7 2 5
10 4 1 8 3
11 6 9 4 4
12 6 8 2 4
13 9 1 7 4
14 4 2 8 6
15 1 6 4 2
16 7 7 9 4
17 5 7 4 4
18 2 6 6 1
19 8 9 5 6
20 8 2 4 2
21 6 9 8 6
22 2 8 9 4
23 3 5 3 6
24 5 9 6 2
25 2 7 2 6
26 1 9 4 6
27 3 5 1 1
28 8 8 4 4
29 6 4 5 2
30 7 3 5 3
31 5 9 3 3
32 1 9 3 3
33 6 9 1 6
34 5 9 6 2
35 3 1 1 3
36 6 5 7 6
37 4 9 1 6
38 9 1 1 2
39 6 4 1 3
40 7 8 9 4
41 1 2 6 2
42 3 7 3 1
43 2 6 1 5
44 3 4 8 3
45 8 8 7 1
46 5 1 7 4
47 3 5 9 5
48 8 1 8 1
49 7 2 8 1
50 3 2 6 2
51 6 5 6 1
52 4 4 1 1
53 1 2 1 5
54 8 3 7 6
55 7 4 6 6
56 8 1 7 6
57 4 6 6 4
58 5 5 8 2
59 9 5 8 3
60 9 4 4 6
61 4 5 1 3
62 1 3 3 1
63 2 2 9 3
64 6 2 9 2
65 8 5 8 5
66 8 7 8 2
67 3 2 1 4
68 8 5 7 4
69 5 4 1 4
70 2 4 9 4
71 4 2 8 3
72 1 6 2 4
73 8 9 1 2
74 3 7 1 2
75 1 1 2 3
76 7 3 3 6
77 5 1 4 6
78 8 3 1 2
79 2 2 6 5
80 3 1 5 5
81 8 8 5 1
82 5 1 2 1
83 4 4 5 3
84 3 2 5 1
85 4 6 6 5
86 5 8 9 2
87 7 9 2 5
88 8 5 7 1
89 5 5 6 4
90 5 7 1 5
91 7 5 1 3
92 7 7 3 2
93 6 5 5 5
94 6 4 7 1
95 2 3 3 1
96 4 7 6 5
97 7 1 4 2
98 2 2 2 4
99 8 8 1 6
100 8 5 6 2
101 5 8 3 6
102 5 5 7 5
103 4 5 3 3
104 1 7 1 4
105 2 9 2 5
106 4 6 6 4
107 4 8 7 4
108 9 6 6 5
109 9 4 2 2
110 9 4 5 6
111 1 1 6 1
112 5 3 8 2
113 8 6 7 2
114 8 8 1 4
115 7 8 2 4
116 1 7 2 3
117 4 5 4 1
118 1 7 8 2
119 5 9 7 1
120 5 9 3 6
121 2 7 7 5
122 7 1 9 2
123 7 4 8 3
;
